French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
genre,kind
mois,month
laisser,let
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
vont,will
revoir,meet again
place,square
parle,speak
voici,here is
pourrais,could
type,type
leurs,their
donné,given
endroit,place
yeux,eyes
écoute,listen
dont,whose
premier,first
première,first
pouvoir,power
tiens,here
matin,morning
tellement,so much
point,point
venu,came
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
eau,water
attendez,Wait
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
chérie,sweetheart
gros,large
aura,will have
jouer,to play
